service_id,total_playtime,avg_daily_playtime,days_active,total_pns,avg_daily_pns,total_days_completed,unique_words_exposed,avg_interactions_per_word,words_with_4plus_exposures,trained_count,untrained_count,random_count,trained_with_4plus_exposures,id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,trained_change,untrained_change,exposure_group,days_group,playtime_group,pns_group,days_completed_group,unique_words_group,avg_interactions_group,trained_words_group,trained_with_4plus_group
5e736f9a4b7e1505b51a28f3,189.22,17.2,11,126.0,12.6,6.0,26,5.54,19,20,0,6,13,5e736f9a4b7e1505b51a28f3,3/6/2025 10:12:19,14 / 30,14,30,46.7,10,18,55.55555555555556,4,12,33.33333333333333,Fourth,4/17/25 10:06,13 / 30,13,30,43.3,8,16,50.0,5,14,35.714285714285715,Fourth,-3.4000000000000057,-5.555555555555557,2.3809523809523867,high,med,high,high,high,high,med,high,high
5e736f9a4b7e1505b51a2904,294.14,21.01,14,138.0,10.62,7.0,32,7.94,31,24,0,8,23,5e736f9a4b7e1505b51a2904,3/7/2025 9:48:43,6 / 30,6,30,20.0,5,18,27.77777777777778,1,12,8.333333333333332,Fourth,4/17/25 08:46,6 / 30,6,30,20.0,4,16,25.0,2,14,14.285714285714285,Fourth,0.0,-2.7777777777777786,5.9523809523809526,high,high,high,high,high,high,high,high,high
5e736f9a4b7e1505b51a2905,61.83,8.83,7,35.0,5.0,0.0,12,3.83,7,8,0,4,3,5e736f9a4b7e1505b51a2905,3/6/2025 10:21:44,11 / 30,11,30,36.7,6,18,33.33333333333333,5,12,41.66666666666667,Fourth,4/17/25 10:19,21 / 30,21,30,70.0,12,16,75.0,9,14,64.28571428571429,Fourth,33.3,41.66666666666667,22.61904761904762,low,low,low,low,low,low,low,med,low
5e736f9a4b7e1505b51a2909,105.99,13.25,8,56.0,8.0,3.0,15,5.53,14,11,0,4,10,5e736f9a4b7e1505b51a2909,3/7/2025 8:17:17,20 / 30,20,30,66.7,11,18,61.111111111111114,9,12,75.0,Fourth,4/17/25 08:32,22 / 30,22,30,73.3,11,16,68.75,11,14,78.57142857142857,Fourth,6.599999999999994,7.638888888888886,3.5714285714285694,med,low,med,med,med,med,med,med,med
5e736f9a4b7e1505b51a290e,50.42,8.4,6,16.0,4.0,0.0,5,5.8,4,1,0,4,0,5e736f9a4b7e1505b51a290e,3/7/2025 9:55:15,15 / 30,15,30,50.0,10,18,55.55555555555556,5,12,41.66666666666667,Fourth,4/17/25 08:51,15 / 30,15,30,50.0,10,16,62.5,5,14,35.714285714285715,Fourth,0.0,6.944444444444443,-5.952380952380956,low,low,low,low,low,low,high,low,low
5e73c43c41e4ae057aa7fa17,582.64,24.28,24,354.0,15.39,15.0,67,4.64,56,30,0,37,30,5e73c43c41e4ae057aa7fa17,3/6/2025 10:50:34,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:16,22 / 30,22,30,73.3,13,16,81.25,9,14,64.28571428571429,Fourth,0.0,9.027777777777786,-10.714285714285708,high,high,high,high,high,high,med,high,high
5e73c43c41e4ae057aa7fa31,78.3,13.05,6,47.0,9.4,2.0,14,6.07,11,10,0,4,7,5e73c43c41e4ae057aa7fa31,3/7/2025 9:51:17,5 / 30,5,30,16.7,3,18,16.666666666666664,2,12,16.666666666666664,Fourth,4/17/25 08:49,5 / 30,5,30,16.7,2,16,12.5,3,14,21.428571428571427,Fourth,0.0,-4.166666666666664,4.761904761904763,med,low,low,low,med,low,high,med,med
5e73c43c41e4ae057aa7fa35,152.04,12.67,12,84.0,8.4,1.0,24,4.21,15,18,0,6,10,5e73c43c41e4ae057aa7fa35,3/6/2025 10:53:09,11 / 30,11,30,36.7,7,18,38.88888888888889,4,12,33.33333333333333,Fourth,4/17/25 11:18,19 / 30,19,30,63.3,8,16,50.0,11,14,78.57142857142857,Fourth,26.59999999999999,11.111111111111107,45.23809523809524,med,med,med,med,low,med,low,high,med
5e7ced16d590eb034610539a,112.86,12.54,9,74.0,8.22,3.0,20,4.25,15,14,0,6,10,5e7ced16d590eb034610539a,3/6/2025 10:52:44,18 / 30,18,30,60.0,9,18,50.0,9,12,75.0,Fourth,4/17/25 11:17,24 / 30,24,30,80.0,15,16,93.75,9,14,64.28571428571429,Fourth,20.0,43.75,-10.714285714285708,med,med,med,med,med,med,low,med,med
5e7ced16d590eb03461053a3,377.81,25.19,15,178.0,12.71,8.0,40,7.12,35,30,0,10,26,5e7ced16d590eb03461053a3,3/7/2025 9:52:44,8 / 30,8,30,26.7,6,18,33.33333333333333,2,12,16.666666666666664,Fourth,4/17/25 08:51,13 / 30,13,30,43.3,7,16,43.75,6,14,42.857142857142854,Fourth,16.599999999999998,10.416666666666671,26.19047619047619,high,high,high,high,high,high,high,high,high
5e7ced16d590eb03461053a6,137.47,11.46,12,120.0,13.33,5.0,25,7.08,22,19,0,6,16,5e7ced16d590eb03461053a6,3/7/2025 9:51:13,9 / 30,9,30,30.0,6,18,33.33333333333333,3,12,25.0,Fourth,4/17/25 08:54,13 / 30,13,30,43.3,7,16,43.75,6,14,42.857142857142854,Fourth,13.299999999999995,10.416666666666671,17.857142857142854,high,med,med,high,high,high,high,high,high
5e7ced16d590eb03461053a8,28.42,9.47,3,24.0,8.0,1.0,8,4.0,4,4,0,4,0,5e7ced16d590eb03461053a8,3/6/2025 10:22:48,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 10:19,16 / 30,16,30,53.3,7,16,43.75,9,14,64.28571428571429,Fourth,3.299999999999997,-6.25,14.285714285714292,low,low,low,low,low,low,low,low,low
5e7ced16d590eb03461053ac,113.89,12.65,9,34.0,4.86,1.0,10,6.4,9,6,0,4,5,5e7ced16d590eb03461053ac,3/7/2025 9:50:21,12 / 30,12,30,40.0,5,18,27.77777777777778,7,12,58.333333333333336,Fourth,4/17/25 08:45,13 / 30,13,30,43.3,4,16,25.0,9,14,64.28571428571429,Fourth,3.299999999999997,-2.7777777777777786,5.952380952380956,low,med,med,low,low,low,high,low,med
5f2be6d7e4b1e9033697f5b1,61.73,10.29,6,21.0,4.2,1.0,8,4.75,4,4,0,4,0,5f2be6d7e4b1e9033697f5b1,3/6/2025 10:16:38,12 / 30,12,30,40.0,7,18,38.88888888888889,5,12,41.66666666666667,Fourth,4/17/25 10:13,11 / 30,11,30,36.7,8,16,50.0,3,14,21.428571428571427,Fourth,-3.299999999999997,11.111111111111107,-20.238095238095244,low,low,low,low,low,low,med,low,low
5f2be6d7e4b1e9033697f64d,258.48,23.5,11,186.0,16.91,8.0,38,4.87,31,28,0,10,24,5f2be6d7e4b1e9033697f64d,3/6/2025 10:57:19,20 / 30,20,30,66.7,12,18,66.66666666666666,8,12,66.66666666666666,Fourth,4/17/25 11:21,26 / 30,26,30,86.7,15,16,93.75,11,14,78.57142857142857,Fourth,20.0,27.083333333333343,11.904761904761912,high,med,high,high,high,high,med,high,high
5f2be6d7e4b1e9033697f650,292.77,22.52,13,120.0,10.0,5.0,28,5.39,21,22,0,6,15,5f2be6d7e4b1e9033697f650,3/7/2025 8:10:06,15 / 30,15,30,50.0,8,18,44.44444444444444,7,12,58.333333333333336,Fourth,4/17/25 08:26,14 / 30,14,30,46.7,7,16,43.75,7,14,50.0,Fourth,-3.299999999999997,-0.6944444444444429,-8.333333333333336,high,high,high,high,high,high,med,high,high
5f2be6d7e4b1e9033697f659,14.59,4.86,3,8.0,8.0,1.0,4,3.0,1,0,0,4,0,5f2be6d7e4b1e9033697f659,3/6/2025 10:16:52,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 10:16,16 / 30,16,30,53.3,7,16,43.75,9,14,64.28571428571429,Fourth,23.299999999999997,15.97222222222222,30.952380952380963,low,low,low,low,low,low,low,low,low
