id,timestamp_x,original_score_x,total_correct_x,total_questions_x,percentage_x,total_trained_correct_x,total_trained_questions_x,trained_percentage_x,total_untrained_correct_x,total_untrained_questions_x,untrained_percentage_x,grade_x,timestamp_y,original_score_y,total_correct_y,total_questions_y,percentage_y,total_trained_correct_y,total_trained_questions_y,trained_percentage_y,total_untrained_correct_y,total_untrained_questions_y,untrained_percentage_y,grade_y,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid
62d8874cbb984a6bb2506ddd,3/14/2025 13:57:40,6 / 30,7.0,30.0,23.3,4.0,18.0,22.22222222222222,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506dde,3/14/2025 14:03:17,12 / 30,12.0,30.0,40.0,7.0,18.0,38.88888888888889,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506de2,3/14/2025 13:56:40,17 / 30,18.0,30.0,60.0,9.0,18.0,50.0,9.0,12.0,75.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506dec,3/14/2025 14:01:01,10 / 30,11.0,30.0,36.7,7.0,18.0,38.88888888888889,4.0,12.0,33.33333333333333,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506ded,3/14/2025 14:02:28,12 / 30,12.0,30.0,40.0,6.0,18.0,33.33333333333333,6.0,12.0,50.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506dee,3/14/2025 14:07:00,14 / 30,15.0,30.0,50.0,7.0,18.0,38.88888888888889,8.0,12.0,66.66666666666666,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506e45,3/14/2025 13:58:16,10 / 30,11.0,30.0,36.7,5.0,18.0,27.77777777777778,6.0,12.0,50.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8874cbb984a6bb2506e80,3/14/2025 13:58:02,20 / 30,21.0,30.0,70.0,11.0,18.0,61.111111111111114,10.0,12.0,83.33333333333334,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e14e176e5de41b053f3acb,3/14/2025 10:09:41,15 / 30,14.0,30.0,46.7,9.0,18.0,50.0,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e41e23339117010efec949,3/6/2025 9:49:09,6 / 30,7.0,30.0,23.3,4.0,18.0,22.22222222222222,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62eaab54bdd4cf42b82eedb8,3/6/2025 10:15:59,22 / 30,23.0,30.0,76.7,14.0,18.0,77.77777777777779,9.0,12.0,75.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62eaad610a343e622a7c1515,,,,,,,,,,,,,4/17/25 10:14,13 / 30,13.0,30.0,43.3,9.0,16.0,56.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
62f39134b11589020b6cc36c,3/6/2025 9:57:29,14 / 30,13.0,30.0,43.3,7.0,18.0,38.88888888888889,6.0,12.0,50.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f4e35a8bf6bc09ca94fbeb,3/6/2025 9:51:49,9 / 30,10.0,30.0,33.3,5.0,18.0,27.77777777777778,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62fcefc0ceea52178cd893c9,3/14/2025 10:08:04,15 / 30,16.0,30.0,53.3,7.0,18.0,38.88888888888889,9.0,12.0,75.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62fcefc0ceea52178cd893d2,,,,,,,,,,,,,4/24/25 10:35,13 / 30,13.0,29.0,44.8,8.0,17.0,47.05882352941176,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,
62feb561aca92c1599166d1e,,,,,,,,,,,,,4/17/25 09:40,21 / 30,22.0,29.0,75.9,13.0,17.0,76.47058823529412,9.0,12.0,75.0,Second,,,,,,,,,,,,,,,,,,,,,,,,
62feb561aca92c1599166d4f,,,,,,,,,,,,,4/17/25 09:38,12 / 30,13.0,29.0,44.8,8.0,17.0,47.05882352941176,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,
62feb561aca92c1599166d56,,,,,,,,,,,,,4/17/25 09:41,20 / 30,20.0,29.0,69.0,11.0,17.0,64.70588235294117,9.0,12.0,75.0,Second,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a6a9,3/10/2025 13:27:48,15 / 30,14.0,30.0,46.7,9.0,18.0,50.0,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a793,3/10/2025 13:31:24,7 / 30,8.0,30.0,26.7,4.0,18.0,22.22222222222222,4.0,12.0,33.33333333333333,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a7d8,3/10/2025 13:30:03,8 / 30,8.0,30.0,26.7,5.0,18.0,27.77777777777778,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
