id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,overall_trained_change,group
5f2be6d7e4b1e9033697f5b1,3/6/2025 10:16:38,12 / 30,12,30,40.0,7,18,38.88888888888889,5,12,41.66666666666667,Fourth,4/17/25 10:13,11 / 30,11,30,36.7,8,16,50.0,3,14,21.428571428571427,Fourth,-3.299999999999997,11.111111111111107,Control
5d4c0d1fe88b9a016f49235b,3/6/2025 10:16:41,9 / 30,9,30,30.0,6,18,33.33333333333333,3,12,25.0,Fourth,4/17/25 10:14,14 / 30,14,30,46.7,9,16,56.25,5,14,35.714285714285715,Fourth,16.700000000000003,22.91666666666667,Control
5f2be6d7e4b1e9033697f659,3/6/2025 10:16:52,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 10:16,16 / 30,16,30,53.3,7,16,43.75,9,14,64.28571428571429,Fourth,23.299999999999997,15.972222222222221,Control
66ac438b9c30f1160705f662,3/6/2025 10:17:12,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 10:09,19 / 30,19,30,63.3,10,16,62.5,9,14,64.28571428571429,Fourth,13.299999999999997,12.5,Experimental
5d4c0d1fe88b9a016f49238d,3/6/2025 10:17:33,17 / 30,17,30,56.7,9,18,50.0,8,12,66.66666666666666,Fourth,4/17/25 10:12,17 / 30,17,30,56.7,10,16,62.5,7,14,50.0,Fourth,0.0,12.5,Control
5d5641802e0317170451fa69,3/6/2025 10:18:49,10 / 30,10,30,33.3,4,18,22.22222222222222,6,12,50.0,Fourth,4/17/25 10:23,11 / 30,11,30,36.7,6,16,37.5,5,14,35.714285714285715,Fourth,3.4000000000000057,15.277777777777779,Control
5dcaa7719cac4b08193c563e,3/6/2025 10:19:32,8 / 30,8,30,26.7,5,18,27.77777777777778,3,12,25.0,Fourth,4/17/25 10:15,10 / 30,10,30,33.3,5,16,31.25,5,14,35.714285714285715,Fourth,6.599999999999998,3.4722222222222214,Control
5d4c0d1fe88b9a016f492354,3/6/2025 10:20:53,8 / 30,8,30,26.7,3,18,16.666666666666664,5,12,41.66666666666667,Fourth,4/17/25 10:15,18 / 30,18,30,60.0,12,16,75.0,6,14,42.857142857142854,Fourth,33.3,58.333333333333336,Control
5d56ea27477f4d0295a3de83,3/6/2025 10:21:30,12 / 30,12,30,40.0,7,18,38.88888888888889,5,12,41.66666666666667,Fourth,4/17/25 10:21,21 / 30,21,30,70.0,10,16,62.5,11,14,78.57142857142857,Fourth,30.0,23.611111111111107,Control
5e736f9a4b7e1505b51a2905,3/6/2025 10:21:44,11 / 30,11,30,36.7,6,18,33.33333333333333,5,12,41.66666666666667,Fourth,4/17/25 10:19,21 / 30,21,30,70.0,12,16,75.0,9,14,64.28571428571429,Fourth,33.3,41.66666666666667,Experimental
5f3d736794738300247cd7ec,3/6/2025 10:21:46,12 / 30,12,30,40.0,8,18,44.44444444444444,4,12,33.33333333333333,Fourth,4/17/25 10:17,14 / 30,14,30,46.7,7,16,43.75,7,14,50.0,Fourth,6.700000000000003,-0.6944444444444429,Control
5e7ced16d590eb03461053a8,3/6/2025 10:22:48,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 10:19,16 / 30,16,30,53.3,7,16,43.75,9,14,64.28571428571429,Fourth,3.299999999999997,-6.25,Control
5f3d736794738300247cd7e7,3/6/2025 10:22:50,16 / 30,16,30,53.3,9,18,50.0,7,12,58.333333333333336,Fourth,4/17/25 10:13,11 / 30,11,30,36.7,6,16,37.5,5,14,35.714285714285715,Fourth,-16.599999999999994,-12.5,Control
5f2be6d7e4b1e9033697f65b,3/6/2025 10:23:22,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 10:14,10 / 30,10,30,33.3,8,16,50.0,2,14,14.285714285714285,Fourth,3.299999999999997,22.22222222222222,Control
62fc7b5560e8b80dda61b61f,3/6/2025 10:24:32,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 10:19,19 / 30,19,30,63.3,11,16,68.75,8,14,57.14285714285714,Fourth,13.299999999999997,18.75,Experimental
61f0be54be9a7c1d4e9b7c66,3/6/2025 10:24:55,6 / 30,6,30,20.0,3,18,16.666666666666664,3,12,25.0,Fourth,4/17/25 10:15,10 / 30,10,30,33.3,6,16,37.5,4,14,28.57142857142857,Fourth,13.299999999999997,20.833333333333336,Control
61e090285a8f9841235ae39f,3/6/2025 10:25:19,13 / 30,13,30,43.3,6,18,33.33333333333333,7,12,58.333333333333336,Fourth,4/17/25 10:18,11 / 30,11,30,36.7,9,16,56.25,2,14,14.285714285714285,Fourth,-6.599999999999994,22.91666666666667,Control
5f3d736794738300247cd801,3/6/2025 10:50:12,15 / 30,15,30,50.0,10,18,55.55555555555556,5,12,41.66666666666667,Fourth,4/17/25 11:16,18 / 30,18,30,60.0,9,16,56.25,9,14,64.28571428571429,Fourth,10.0,0.6944444444444429,Experimental
65df6c2e874f0c0b69e2ee30,3/6/2025 10:50:26,24 / 30,24,30,80.0,14,18,77.77777777777779,10,12,83.33333333333334,Fourth,4/17/25 11:15,24 / 30,24,30,80.0,12,16,75.0,12,14,85.71428571428571,Fourth,0.0,-2.7777777777777857,Experimental
5e73c43c41e4ae057aa7fa17,3/6/2025 10:50:34,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:16,22 / 30,22,30,73.3,13,16,81.25,9,14,64.28571428571429,Fourth,0.0,9.027777777777786,Experimental
5f5b7ce9c2c291284d29b4b1,3/6/2025 10:50:42,22 / 30,22,30,73.3,12,18,66.66666666666666,10,12,83.33333333333334,Fourth,4/17/25 11:14,23 / 30,23,30,76.7,12,16,75.0,11,14,78.57142857142857,Fourth,3.4000000000000057,8.333333333333343,Experimental
61004bda3391170a2edae7db,3/6/2025 10:51:20,22 / 30,22,30,73.3,12,18,66.66666666666666,10,12,83.33333333333334,Fourth,4/17/25 11:16,26 / 30,26,30,86.7,13,16,81.25,13,14,92.85714285714286,Fourth,13.400000000000006,14.583333333333343,Experimental
66a3b9086adb392850489cc4,3/6/2025 10:51:35,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:16,25 / 30,25,30,83.3,14,16,87.5,11,14,78.57142857142857,Fourth,10.0,15.277777777777786,Experimental
6102ffcc0d043902e8dc8811,3/6/2025 10:52:06,21 / 30,21,30,70.0,13,18,72.22222222222221,8,12,66.66666666666666,Fourth,4/17/25 11:16,23 / 30,23,30,76.7,14,16,87.5,9,14,64.28571428571429,Fourth,6.700000000000003,15.277777777777786,Experimental
5e7ced16d590eb03461053ae,3/6/2025 10:52:20,20 / 30,20,30,66.7,12,18,66.66666666666666,8,12,66.66666666666666,Fourth,4/17/25 11:18,25 / 30,25,30,83.3,14,16,87.5,11,14,78.57142857142857,Fourth,16.599999999999994,20.833333333333343,Experimental
5f2be6d7e4b1e9033697f66f,3/6/2025 10:52:25,19 / 30,19,30,63.3,10,18,55.55555555555556,9,12,75.0,Fourth,4/17/25 11:20,22 / 30,22,30,73.3,11,16,68.75,11,14,78.57142857142857,Fourth,10.0,13.194444444444443,Experimental
5f2be6d7e4b1e9033697f690,3/6/2025 10:52:28,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:17,21 / 30,21,30,70.0,13,16,81.25,8,14,57.14285714285714,Fourth,-3.299999999999997,9.027777777777786,Experimental
62f6d1fa3d2cc21b04da2d62,3/6/2025 10:52:32,20 / 30,20,30,66.7,12,18,66.66666666666666,8,12,66.66666666666666,Fourth,4/17/25 11:17,20 / 30,20,30,66.7,12,16,75.0,8,14,57.14285714285714,Fourth,0.0,8.333333333333343,Experimental
63d1e39521108a040c8a6c37,3/6/2025 10:52:43,21 / 30,21,30,70.0,12,18,66.66666666666666,9,12,75.0,Fourth,4/17/25 11:16,25 / 30,25,30,83.3,13,16,81.25,12,14,85.71428571428571,Fourth,13.299999999999997,14.583333333333343,Experimental
5e7ced16d590eb034610539a,3/6/2025 10:52:44,18 / 30,18,30,60.0,9,18,50.0,9,12,75.0,Fourth,4/17/25 11:17,24 / 30,24,30,80.0,15,16,93.75,9,14,64.28571428571429,Fourth,20.0,43.75,Experimental
5f2be6d8e4b1e9033697f6b8,3/6/2025 10:52:55,21 / 30,21,30,70.0,14,18,77.77777777777779,7,12,58.333333333333336,Fourth,4/17/25 11:17,23 / 30,23,30,76.7,12,16,75.0,11,14,78.57142857142857,Fourth,6.700000000000003,-2.7777777777777857,Experimental
66166c7f47ad6b29984d4af7,3/6/2025 10:52:56,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:20,19 / 30,19,30,63.3,11,16,68.75,8,14,57.14285714285714,Fourth,-10.0,-3.4722222222222143,Experimental
5e73c43c41e4ae057aa7fa35,3/6/2025 10:53:09,11 / 30,11,30,36.7,7,18,38.88888888888889,4,12,33.33333333333333,Fourth,4/17/25 11:18,19 / 30,19,30,63.3,8,16,50.0,11,14,78.57142857142857,Fourth,26.599999999999994,11.111111111111107,Experimental
5e736f994b7e1505b51a28cf,3/6/2025 10:53:36,20 / 30,20,30,66.7,11,18,61.111111111111114,9,12,75.0,Fourth,4/17/25 11:20,23 / 30,23,30,76.7,12,16,75.0,11,14,78.57142857142857,Fourth,10.0,13.888888888888886,Experimental
