service_id,total_stars,avg_daily_stars,total_pns,avg_daily_pns,total_days_completed,missions_started,missions_completed,missions_aborted,races_started,popquizzes_started,popquizzes_completed,missing_missions,total_playtime,avg_daily_playtime,days_active,assemblesyllables_totalnumber,matchcollocations_totalnumber,matchsentenceblank_totalnumber,matchsynonyms_totalnumber,popquizcollocation_totalnumber,popquizsynonym_totalnumber,assemblesyllables_totaltime,matchcollocations_totaltime,matchsentenceblank_totaltime,matchsynonyms_totaltime,popquizcollocation_totaltime,popquizsynonym_totaltime,assemblesyllables_avgtime,matchcollocations_avgtime,matchsentenceblank_avgtime,matchsynonyms_avgtime,popquizcollocation_avgtime,popquizsynonym_avgtime,accuracy,total_learning_time,avg_response_time,unique_words_exposed,avg_interactions_per_word,words_with_9plus_exposures,trained_count,untrained_count,random_count,first_exposure_wrong,second_exposure_wrong,avg_exposure_attempts,total_exposures_wrong,avg_wic_attempts,total_wic_wrong,total_wrong,learned_trained_count,imputed_word_data,improved_learning_time
5e736f994b7e1505b51a28cf,69,9.86,78.0,11.14,2,22,8.0,10,4,2,2,4,90.11,10.01,9.0,19.0,4.0,14.0,32.0,2.0,7.0,129.09,45.11,350.48,264.05,13.14,34.35,6.65,11.28,31.77,8.79,6.57,5.25,0.81,936.55,11.02,19,4.47,2,13,0,6,0.0,2.0,4.53,9.0,2.13,4.0,13.0,10.0,False,836.22
5e736f9a4b7e1505b51a28f3,104,10.4,126.0,12.6,6,29,16.0,12,1,6,6,1,189.22,17.2,11.0,26.0,8.0,18.0,52.0,3.0,19.0,201.62,87.99,214.93,449.9,6.88,43.71,8.55,11.77,12.9,9.89,2.29,2.31,0.72,1403.54,9.75,26,5.54,4,20,0,6,2.0,5.0,5.48,24.0,3.04,16.0,40.0,17.0,False,1005.03
5e736f9a4b7e1505b51a2904,129,9.92,138.0,10.62,7,35,19.0,12,15,5,5,4,294.14,21.01,14.0,32.0,15.0,26.0,56.0,1.0,8.0,267.09,88.48,246.4,379.24,1.23,17.02,8.6,5.76,8.58,6.48,1.23,1.88,0.51,4471.36,17.6,32,7.94,11,24,0,8,8.0,17.0,9.76,79.0,6.72,51.0,130.0,19.0,False,999.46
5e736f9a4b7e1505b51a2905,35,5.0,35.0,5.0,0,11,3.0,6,0,0,0,2,61.83,8.83,7.0,11.0,2.0,6.0,16.0,,,111.15,36.02,146.72,170.71,0.0,0.0,11.29,18.01,26.96,10.68,,,0.78,600.83,13.06,12,3.83,0,8,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,False,464.6
5e736f9a4b7e1505b51a2909,55,7.86,56.0,8.0,3,20,6.0,11,0,1,1,3,105.99,13.25,8.0,14.0,4.0,13.0,24.0,,1.0,136.11,40.08,226.29,175.82,0.0,5.71,9.8,10.02,18.39,7.51,,5.71,0.67,856.54,10.32,15,5.53,1,11,0,4,1.0,0.0,5.67,4.0,2.33,1.0,5.0,2.0,False,584.01
5e73c43c41e4ae057aa7fa17,290,12.61,354.0,15.39,15,68,47.0,15,76,14,13,6,582.64,24.28,24.0,70.0,38.0,70.0,112.0,18.0,46.0,425.68,333.95,691.02,966.93,68.52,153.34,5.97,9.68,10.77,10.45,4.45,3.22,0.91,2729.95,8.78,67,4.64,2,30,0,37,2.0,8.0,3.83,17.0,1.66,7.0,24.0,30.0,False,2639.44
5e73c43c41e4ae057aa7fa31,44,8.8,47.0,9.4,2,15,7.0,8,4,1,1,0,78.3,13.05,6.0,14.0,3.0,7.0,20.0,1.0,2.0,123.3,18.73,124.04,145.91,6.99,4.5,9.5,6.24,17.34,6.65,6.99,2.25,0.52,754.14,8.87,14,6.07,2,10,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,423.47
5e73c43c41e4ae057aa7fa35,80,8.0,84.0,8.4,1,23,9.0,13,0,1,1,1,152.04,12.67,12.0,24.0,5.0,14.0,37.0,,4.0,216.17,46.92,159.67,304.9,0.0,18.1,9.6,9.38,13.62,9.41,,4.53,0.79,961.7,9.52,24,4.21,2,18,0,6,1.0,1.0,4.7,7.0,2.0,3.0,10.0,7.0,False,745.76
5e7ced16d590eb0346105395,20,4.0,20.0,4.0,0,12,3.0,7,0,0,0,2,45.25,5.66,8.0,7.0,2.0,3.0,8.0,,,79.57,10.55,47.27,66.53,0.0,0.0,12.99,5.27,14.13,8.03,,,0.43,504.18,10.96,7,6.57,2,3,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,203.92
5e7ced16d590eb034610539a,69,7.67,74.0,8.22,3,18,9.0,8,1,1,1,1,112.86,12.54,9.0,20.0,4.0,12.0,33.0,1.0,4.0,148.34,24.51,103.65,294.02,1.73,12.48,7.42,6.13,8.77,8.6,1.73,3.12,0.82,672.56,7.91,20,4.25,1,14,0,6,0.0,2.0,3.64,4.0,1.29,0.0,4.0,9.0,False,584.73
5e7ced16d590eb03461053a3,162,11.57,178.0,12.71,8,33,22.0,1,32,7,7,10,377.81,25.19,15.0,39.0,20.0,28.0,75.0,2.0,14.0,323.28,165.55,364.2,514.7,4.46,35.87,8.63,8.01,14.49,7.07,2.23,2.43,0.58,2400.01,8.42,40,7.12,15,30,0,10,3.0,20.0,8.46,70.0,6.0,46.0,116.0,22.0,False,1408.06
5e7ced16d590eb03461053a6,102,11.33,120.0,13.33,5,20,14.0,2,8,5,5,4,137.47,11.46,12.0,25.0,6.0,21.0,50.0,2.0,16.0,188.29,41.84,353.46,456.58,7.84,35.34,8.39,6.97,15.32,9.9,3.92,2.23,0.58,1770.72,10.0,25,7.08,8,19,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,1083.35
5e7ced16d590eb03461053a8,21,7.0,24.0,8.0,1,5,4.0,1,1,1,1,0,28.42,9.47,3.0,8.0,2.0,4.0,7.0,1.0,2.0,79.22,16.76,54.29,58.79,24.14,2.99,11.95,8.38,13.57,9.54,24.14,1.49,0.66,323.99,10.12,8,4.0,0,4,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,False,236.19
5e7ced16d590eb03461053ac,34,4.86,34.0,4.86,1,14,3.0,7,0,0,0,4,113.89,12.65,9.0,9.0,2.0,8.0,15.0,,,147.06,17.73,109.38,136.88,0.0,0.0,21.17,8.87,12.58,9.51,,,0.58,726.1,11.35,10,6.4,2,6,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,False,411.05
5e7ced16d590eb03461053ae,174,13.38,217.0,16.69,11,35,30.0,5,97,10,10,0,274.416,,14.2,45.0,21.0,36.0,72.0,11.0,32.0,347.14,140.16,365.12,463.95,30.69,79.42,8.46,6.88,11.42,6.68,2.48,2.41,0.87,3034.4,15.17,45,4.44,3,30,0,15,3.0,4.0,4.49,25.0,2.31,19.0,44.0,30.0,False,1426.48
5e7ced16d590eb03461053b4,89,8.09,99.0,9.0,3,19,9.0,6,4,3,3,4,224.02,18.67,12.0,20.0,6.0,20.0,43.0,2.0,8.0,205.56,56.58,277.26,416.6,42.21,73.56,12.36,9.43,14.3,8.78,21.11,10.78,0.61,1574.36,10.78,20,7.3,10,14,0,6,4.0,10.0,8.0,34.0,5.07,18.0,52.0,11.0,False,1071.77
5f2be6d7e4b1e9033697f5b1,21,4.2,21.0,4.2,1,9,3.0,4,1,1,1,2,61.73,10.29,6.0,7.0,2.0,2.0,10.0,,,53.22,17.47,38.93,98.27,0.0,0.0,8.39,8.74,19.46,11.82,,,0.58,354.4,9.33,8,4.75,1,4,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,207.89
5f2be6d7e4b1e9033697f64d,153,13.91,186.0,16.91,8,36,22.0,12,18,7,7,2,258.48,23.5,11.0,38.0,17.0,34.0,64.0,6.0,27.0,294.17,147.1,501.0,513.27,35.3,129.42,8.41,8.29,16.45,9.18,6.28,4.68,0.83,1807.86,9.77,38,4.87,1,28,0,10,3.0,10.0,4.79,25.0,2.16,6.0,31.0,28.0,False,1620.26
5f2be6d7e4b1e9033697f650,106,8.83,120.0,10.0,5,38,15.0,20,10,4,4,3,292.77,22.52,13.0,28.0,8.0,16.0,54.0,3.0,11.0,217.62,80.42,186.49,456.4,14.35,41.38,8.25,10.89,11.24,9.67,4.78,3.75,0.7,1247.85,8.26,28,5.39,4,22,0,6,1.0,13.0,6.75,46.0,4.32,33.0,79.0,22.0,False,996.66
5f2be6d7e4b1e9033697f659,8,8.0,8.0,8.0,1,4,2.0,2,0,0,0,0,14.59,4.86,3.0,4.0,1.0,,3.0,,,45.97,4.29,0.0,21.32,0.0,0.0,11.49,4.29,,6.65,,,0.67,97.24,8.1,4,3.0,0,0,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,71.58
5f2be6d7e4b1e9033697f65b,21,5.25,21.0,5.25,0,11,4.0,6,0,0,0,1,49.33,8.22,6.0,6.0,2.0,3.0,10.0,,,81.81,14.42,83.02,90.1,0.0,0.0,14.86,7.21,27.67,8.75,,,0.54,460.59,11.81,6,6.5,2,2,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,269.35
5f2be6d7e4b1e9033697f65c,81,9.0,88.0,9.78,3,23,12.0,8,8,3,3,3,152.44,13.86,11.0,21.0,5.0,16.0,39.0,,7.0,162.31,32.93,117.88,241.06,0.0,64.02,8.15,6.59,9.34,5.96,,10.17,0.62,980.58,7.16,22,6.23,5,16,0,6,5.0,8.0,7.62,38.0,4.88,22.0,60.0,11.0,False,618.2
5f2be6d7e4b1e9033697f65f,134,13.4,147.0,14.7,5,33,18.0,11,25,4,4,4,244.01,22.18,11.0,33.0,13.0,27.0,61.0,2.0,11.0,337.2,112.31,461.08,460.87,7.59,60.3,10.66,8.36,14.88,7.12,3.79,4.85,0.53,2405.0,9.54,33,7.64,13,25,0,8,12.0,19.0,9.18,95.0,6.88,68.0,163.0,25.0,False,1439.35
5f2be6d7e4b1e9033697f668,3,3.0,3.0,3.0,0,2,1.0,0,0,0,0,1,50.78,16.93,3.0,3.0,,,,,,22.65,0.0,0.0,0.0,0.0,0.0,7.55,,,,,,1.0,22.64,7.55,3,1.0,0,0,0,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,22.65
5f2be6d7e4b1e9033697f66f,60,8.57,76.0,10.86,4,17,8.0,7,18,4,4,2,178.66,14.89,12.0,17.0,4.0,12.0,27.0,4.0,12.0,120.96,28.6,120.1,223.83,15.62,99.44,7.08,7.15,11.0,7.69,3.9,7.84,0.79,621.88,8.18,17,4.47,1,11,0,6,0.0,1.0,4.18,5.0,1.82,4.0,9.0,6.0,False,608.55
